county,precinct,office,district,candidate,party,votes,updated
Madison,Town of Hamilton 3,State Senate,53,Sam Rodgers,CON,15,
Madison,Town of Hamilton 3,State Senate,53,Rachel May,WOR,13,
Madison,Town of Hamilton 3,State Senate,53,Russell S. Penner,LBT,3,
Madison,Town of Hamilton 3,State Senate,53,Sam Rodgers,IND,9,
Madison,Town of Hamilton 3,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Hamilton 3,State Senate,53,Write-ins,,0,
Madison,Town of Hamilton 3,State Senate,53,Voids,,0,
Madison,Town of Hamilton 3,State Senate,53,Blanks,,10,
Madison,Town of Hamilton 4,State Senate,53,Rachel May,DEM,270,
Madison,Town of Hamilton 4,State Senate,53,Sam Rodgers,REP,326,
Madison,Town of Hamilton 4,State Senate,53,Sam Rodgers,CON,36,
Madison,Town of Hamilton 4,State Senate,53,Rachel May,WOR,23,
Madison,Town of Hamilton 4,State Senate,53,Russell S. Penner,LBT,13,
Madison,Town of Hamilton 4,State Senate,53,Sam Rodgers,IND,13,
Madison,Town of Hamilton 4,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Hamilton 4,State Senate,53,Write-ins,,1,
Madison,Town of Hamilton 4,State Senate,53,Voids,,0,
Madison,Town of Hamilton 4,State Senate,53,Blanks,,27,
Madison,Town of Lebanon 1,State Senate,53,Rachel May,DEM,71,
Madison,Town of Lebanon 1,State Senate,53,Sam Rodgers,REP,132,
Madison,Town of Lebanon 1,State Senate,53,Sam Rodgers,CON,16,
Madison,Town of Lebanon 1,State Senate,53,Rachel May,WOR,6,
Madison,Town of Lebanon 1,State Senate,53,Russell S. Penner,LBT,2,
Madison,Town of Lebanon 1,State Senate,53,Sam Rodgers,IND,3,
Madison,Town of Lebanon 1,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Lebanon 1,State Senate,53,Write-ins,,0,
Madison,Town of Lebanon 1,State Senate,53,Voids,,0,
Madison,Town of Lebanon 1,State Senate,53,Blanks,,12,
Madison,Town of Lebanon 2,State Senate,53,Rachel May,DEM,150,
Madison,Town of Lebanon 2,State Senate,53,Sam Rodgers,REP,218,
Madison,Town of Lebanon 2,State Senate,53,Sam Rodgers,CON,10,
Madison,Town of Lebanon 2,State Senate,53,Rachel May,WOR,15,
Madison,Town of Lebanon 2,State Senate,53,Russell S. Penner,LBT,5,
Madison,Town of Lebanon 2,State Senate,53,Sam Rodgers,IND,6,
Madison,Town of Lebanon 2,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Lebanon 2,State Senate,53,Write-ins,,0,
Madison,Town of Lebanon 2,State Senate,53,Voids,,0,
Madison,Town of Lebanon 2,State Senate,53,Blanks,,20,
Madison,Town of Lenox 1,State Senate,53,Rachel May,DEM,229,
Madison,Town of Lenox 1,State Senate,53,Sam Rodgers,REP,484,
Madison,Town of Lenox 1,State Senate,53,Sam Rodgers,CON,50,
Madison,Town of Lenox 1,State Senate,53,Rachel May,WOR,23,
Madison,Town of Lenox 1,State Senate,53,Russell S. Penner,LBT,10,
Madison,Town of Lenox 1,State Senate,53,Sam Rodgers,IND,19,
Madison,Town of Lenox 1,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Lenox 1,State Senate,53,Write-ins,,0,
Madison,Town of Lenox 1,State Senate,53,Voids,,0,
Madison,Town of Lenox 1,State Senate,53,Blanks,,49,
Madison,Town of Lenox 2,State Senate,53,Rachel May,DEM,200,
Madison,Town of Lenox 2,State Senate,53,Sam Rodgers,REP,373,
Madison,Town of Lenox 2,State Senate,53,Sam Rodgers,CON,36,
Madison,Town of Lenox 2,State Senate,53,Rachel May,WOR,21,
Madison,Town of Lenox 2,State Senate,53,Russell S. Penner,LBT,9,
Madison,Town of Lenox 2,State Senate,53,Sam Rodgers,IND,17,
Madison,Town of Lenox 2,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Lenox 2,State Senate,53,Write-ins,,1,
Madison,Town of Lenox 2,State Senate,53,Voids,,0,
Madison,Town of Lenox 2,State Senate,53,Blanks,,48,
Madison,Town of Lenox 3,State Senate,53,Rachel May,DEM,241,
Madison,Town of Lenox 3,State Senate,53,Sam Rodgers,REP,384,
Madison,Town of Lenox 3,State Senate,53,Sam Rodgers,CON,30,
Madison,Town of Lenox 3,State Senate,53,Rachel May,WOR,24,
Madison,Town of Lenox 3,State Senate,53,Russell S. Penner,LBT,13,
Madison,Town of Lenox 3,State Senate,53,Sam Rodgers,IND,10,
Madison,Town of Lenox 3,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Lenox 3,State Senate,53,Write-ins,,1,
Madison,Town of Lenox 3,State Senate,53,Voids,,0,
Madison,Town of Lenox 3,State Senate,53,Blanks,,44,
Madison,Town of Lenox 4,State Senate,53,Rachel May,DEM,202,
Madison,Town of Lenox 4,State Senate,53,Sam Rodgers,REP,317,
Madison,Town of Lenox 4,State Senate,53,Sam Rodgers,CON,20,
Madison,Town of Lenox 4,State Senate,53,Rachel May,WOR,16,
Madison,Town of Lenox 4,State Senate,53,Russell S. Penner,LBT,4,
Madison,Town of Lenox 4,State Senate,53,Sam Rodgers,IND,5,
Madison,Town of Lenox 4,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Lenox 4,State Senate,53,Write-ins,,0,
Madison,Town of Lenox 4,State Senate,53,Voids,,0,
Madison,Town of Lenox 4,State Senate,53,Blanks,,22,
Madison,Town of Lenox 5,State Senate,53,Rachel May,DEM,280,
Madison,Town of Lenox 5,State Senate,53,Sam Rodgers,REP,470,
Madison,Town of Lenox 5,State Senate,53,Sam Rodgers,CON,31,
Madison,Town of Lenox 5,State Senate,53,Rachel May,WOR,22,
Madison,Town of Lenox 5,State Senate,53,Russell S. Penner,LBT,12,
Madison,Town of Lenox 5,State Senate,53,Sam Rodgers,IND,19,
Madison,Town of Lenox 5,State Senate,53,Sam Rodgers,SAM,2,
Madison,Town of Lenox 5,State Senate,53,Write-ins,,2,
Madison,Town of Lenox 5,State Senate,53,Voids,,0,
Madison,Town of Lenox 5,State Senate,53,Blanks,,47,
Madison,Town of Lenox 6,State Senate,53,Rachel May,DEM,102,
Madison,Town of Lenox 6,State Senate,53,Sam Rodgers,REP,217,
Madison,Town of Lenox 6,State Senate,53,Sam Rodgers,CON,15,
Madison,Town of Lenox 6,State Senate,53,Rachel May,WOR,2,
Madison,Town of Lenox 6,State Senate,53,Russell S. Penner,LBT,7,
Madison,Town of Lenox 6,State Senate,53,Sam Rodgers,IND,6,
Madison,Town of Lenox 6,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Lenox 6,State Senate,53,Write-ins,,0,
Madison,Town of Lenox 6,State Senate,53,Voids,,0,
Madison,Town of Lenox 6,State Senate,53,Blanks,,8,
Madison,Town of Lincoln 1,State Senate,53,Rachel May,DEM,119,
Madison,Town of Lincoln 1,State Senate,53,Sam Rodgers,REP,272,
Madison,Town of Lincoln 1,State Senate,53,Sam Rodgers,CON,17,
Madison,Town of Lincoln 1,State Senate,53,Rachel May,WOR,10,
Madison,Town of Lincoln 1,State Senate,53,Russell S. Penner,LBT,6,
Madison,Town of Lincoln 1,State Senate,53,Sam Rodgers,IND,11,
Madison,Town of Lincoln 1,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Lincoln 1,State Senate,53,Write-ins,,0,
Madison,Town of Lincoln 1,State Senate,53,Voids,,0,
Madison,Town of Lincoln 1,State Senate,53,Blanks,,16,
Madison,Town of Lincoln 2,State Senate,53,Rachel May,DEM,112,
Madison,Town of Lincoln 2,State Senate,53,Sam Rodgers,REP,315,
Madison,Town of Lincoln 2,State Senate,53,Sam Rodgers,CON,29,
Madison,Town of Lincoln 2,State Senate,53,Rachel May,WOR,11,
Madison,Town of Lincoln 2,State Senate,53,Russell S. Penner,LBT,7,
Madison,Town of Lincoln 2,State Senate,53,Sam Rodgers,IND,8,
Madison,Town of Lincoln 2,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Lincoln 2,State Senate,53,Write-ins,,0,
Madison,Town of Lincoln 2,State Senate,53,Voids,,0,
Madison,Town of Lincoln 2,State Senate,53,Blanks,,22,
Madison,Town of Madison 1,State Senate,53,Rachel May,DEM,314,
Madison,Town of Madison 1,State Senate,53,Sam Rodgers,REP,421,
Madison,Town of Madison 1,State Senate,53,Sam Rodgers,CON,42,
Madison,Town of Madison 1,State Senate,53,Rachel May,WOR,22,
Madison,Town of Madison 1,State Senate,53,Russell S. Penner,LBT,7,
Madison,Town of Madison 1,State Senate,53,Sam Rodgers,IND,13,
Madison,Town of Madison 1,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Madison 1,State Senate,53,Write-ins,,0,
Madison,Town of Madison 1,State Senate,53,Voids,,0,
Madison,Town of Madison 1,State Senate,53,Blanks,,22,
Madison,Town of Madison 2,State Senate,53,Rachel May,DEM,249,
Madison,Town of Madison 2,State Senate,53,Sam Rodgers,REP,319,
Madison,Town of Madison 2,State Senate,53,Sam Rodgers,CON,28,
Madison,Town of Madison 2,State Senate,53,Rachel May,WOR,18,
Madison,Town of Madison 2,State Senate,53,Russell S. Penner,LBT,13,
Madison,Town of Madison 2,State Senate,53,Sam Rodgers,IND,15,
Madison,Town of Madison 2,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Madison 2,State Senate,53,Write-ins,,0,
Madison,Town of Madison 2,State Senate,53,Voids,,0,
Madison,Town of Madison 2,State Senate,53,Blanks,,45,
Madison,Town of Nelson 1,State Senate,53,Rachel May,DEM,207,
Madison,Town of Nelson 1,State Senate,53,Sam Rodgers,REP,299,
Madison,Town of Nelson 1,State Senate,53,Sam Rodgers,CON,36,
Madison,Town of Nelson 1,State Senate,53,Rachel May,WOR,26,
Madison,Town of Nelson 1,State Senate,53,Russell S. Penner,LBT,6,
Madison,Town of Nelson 1,State Senate,53,Sam Rodgers,IND,8,
Madison,Town of Nelson 1,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Nelson 1,State Senate,53,Write-ins,,0,
Madison,Town of Nelson 1,State Senate,53,Voids,,0,
Madison,Town of Nelson 1,State Senate,53,Blanks,,19,
Madison,Town of Nelson 2,State Senate,53,Rachel May,DEM,199,
Madison,Town of Nelson 2,State Senate,53,Sam Rodgers,REP,283,
Madison,Town of Nelson 2,State Senate,53,Sam Rodgers,CON,23,
Madison,Town of Nelson 2,State Senate,53,Rachel May,WOR,13,
Madison,Town of Nelson 2,State Senate,53,Russell S. Penner,LBT,5,
Madison,Town of Nelson 2,State Senate,53,Sam Rodgers,IND,13,
Madison,Town of Nelson 2,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Nelson 2,State Senate,53,Write-ins,,0,
Madison,Town of Nelson 2,State Senate,53,Voids,,0,
Madison,Town of Nelson 2,State Senate,53,Blanks,,30,
Madison,Town of Smithfield 1,State Senate,53,Rachel May,DEM,139,
Madison,Town of Smithfield 1,State Senate,53,Sam Rodgers,REP,317,
Madison,Town of Smithfield 1,State Senate,53,Sam Rodgers,CON,36,
Madison,Town of Smithfield 1,State Senate,53,Rachel May,WOR,11,
Madison,Town of Smithfield 1,State Senate,53,Russell S. Penner,LBT,6,
Madison,Town of Smithfield 1,State Senate,53,Sam Rodgers,IND,8,
Madison,Town of Smithfield 1,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Smithfield 1,State Senate,53,Write-ins,,0,
Madison,Town of Smithfield 1,State Senate,53,Voids,,0,
Madison,Town of Smithfield 1,State Senate,53,Blanks,,36,
Madison,Town of Stockbridge 1,State Senate,53,Rachel May,DEM,97,
Madison,Town of Stockbridge 1,State Senate,53,Sam Rodgers,REP,263,
Madison,Town of Stockbridge 1,State Senate,53,Sam Rodgers,CON,17,
Madison,Town of Stockbridge 1,State Senate,53,Rachel May,WOR,14,
Madison,Town of Stockbridge 1,State Senate,53,Russell S. Penner,LBT,4,
Madison,Town of Stockbridge 1,State Senate,53,Sam Rodgers,IND,7,
Madison,Town of Stockbridge 1,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Stockbridge 1,State Senate,53,Write-ins,,0,
Madison,Town of Stockbridge 1,State Senate,53,Voids,,0,
Madison,Town of Stockbridge 1,State Senate,53,Blanks,,26,
Madison,Town of Stockbridge 2,State Senate,53,Rachel May,DEM,109,
Madison,Town of Stockbridge 2,State Senate,53,Sam Rodgers,REP,332,
Madison,Town of Stockbridge 2,State Senate,53,Sam Rodgers,CON,22,
Madison,Town of Stockbridge 2,State Senate,53,Rachel May,WOR,15,
Madison,Town of Stockbridge 2,State Senate,53,Russell S. Penner,LBT,4,
Madison,Town of Stockbridge 2,State Senate,53,Sam Rodgers,IND,7,
Madison,Town of Stockbridge 2,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Stockbridge 2,State Senate,53,Write-ins,,0,
Madison,Town of Stockbridge 2,State Senate,53,Voids,,0,
Madison,Town of Stockbridge 2,State Senate,53,Blanks,,33,
Madison,Town of Sullivan 1,State Senate,53,Rachel May,DEM,500,
Madison,Town of Sullivan 1,State Senate,53,Sam Rodgers,REP,608,
Madison,Town of Sullivan 1,State Senate,53,Sam Rodgers,CON,59,
Madison,Town of Sullivan 1,State Senate,53,Rachel May,WOR,25,
Madison,Town of Sullivan 1,State Senate,53,Russell S. Penner,LBT,10,
Madison,Town of Sullivan 1,State Senate,53,Sam Rodgers,IND,21,
Madison,Town of Sullivan 1,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Sullivan 1,State Senate,53,Write-ins,,0,
Madison,Town of Sullivan 1,State Senate,53,Voids,,0,
Madison,Town of Sullivan 1,State Senate,53,Blanks,,55,
Madison,Town of Sullivan 2,State Senate,53,Rachel May,DEM,324,
Madison,Town of Sullivan 2,State Senate,53,Sam Rodgers,REP,487,
Madison,Town of Sullivan 2,State Senate,53,Sam Rodgers,CON,46,
Madison,Town of Sullivan 2,State Senate,53,Rachel May,WOR,18,
Madison,Town of Sullivan 2,State Senate,53,Russell S. Penner,LBT,14,
Madison,Town of Sullivan 2,State Senate,53,Sam Rodgers,IND,9,
Madison,Town of Sullivan 2,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Sullivan 2,State Senate,53,Write-ins,,0,
Madison,Town of Sullivan 2,State Senate,53,Voids,,0,
Madison,Town of Sullivan 2,State Senate,53,Blanks,,49,
Madison,Town of Sullivan 3,State Senate,53,Rachel May,DEM,243,
Madison,Town of Sullivan 3,State Senate,53,Sam Rodgers,REP,400,
Madison,Town of Sullivan 3,State Senate,53,Sam Rodgers,CON,40,
Madison,Town of Sullivan 3,State Senate,53,Rachel May,WOR,19,
Madison,Town of Sullivan 3,State Senate,53,Russell S. Penner,LBT,9,
Madison,Town of Sullivan 3,State Senate,53,Sam Rodgers,IND,8,
Madison,Town of Sullivan 3,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Sullivan 3,State Senate,53,Write-ins,,0,
Madison,Town of Sullivan 3,State Senate,53,Voids,,0,
Madison,Town of Sullivan 3,State Senate,53,Blanks,,25,
Madison,Town of Sullivan 4,State Senate,53,Rachel May,DEM,135,
Madison,Town of Sullivan 4,State Senate,53,Sam Rodgers,REP,206,
Madison,Town of Sullivan 4,State Senate,53,Sam Rodgers,CON,13,
Madison,Town of Sullivan 4,State Senate,53,Rachel May,WOR,10,
Madison,Town of Sullivan 4,State Senate,53,Russell S. Penner,LBT,2,
Madison,Town of Sullivan 4,State Senate,53,Sam Rodgers,IND,8,
Madison,Town of Sullivan 4,State Senate,53,Sam Rodgers,SAM,2,
Madison,Town of Sullivan 4,State Senate,53,Write-ins,,0,
Madison,Town of Sullivan 4,State Senate,53,Voids,,0,
Madison,Town of Sullivan 4,State Senate,53,Blanks,,19,
Madison,Town of Sullivan 5,State Senate,53,Rachel May,DEM,310,
Madison,Town of Sullivan 5,State Senate,53,Sam Rodgers,REP,447,
Madison,Town of Sullivan 5,State Senate,53,Sam Rodgers,CON,48,
Madison,Town of Sullivan 5,State Senate,53,Rachel May,WOR,30,
Madison,Town of Sullivan 5,State Senate,53,Russell S. Penner,LBT,11,
Madison,Town of Sullivan 5,State Senate,53,Sam Rodgers,IND,20,
Madison,Town of Sullivan 5,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Sullivan 5,State Senate,53,Write-ins,,0,
Madison,Town of Sullivan 5,State Senate,53,Voids,,0,
Madison,Town of Sullivan 5,State Senate,53,Blanks,,49,
Madison,Town of Sullivan 6,State Senate,53,Rachel May,DEM,298,
Madison,Town of Sullivan 6,State Senate,53,Sam Rodgers,REP,385,
Madison,Town of Sullivan 6,State Senate,53,Sam Rodgers,CON,39,
Madison,Town of Sullivan 6,State Senate,53,Rachel May,WOR,18,
Madison,Town of Sullivan 6,State Senate,53,Russell S. Penner,LBT,10,
Madison,Town of Sullivan 6,State Senate,53,Sam Rodgers,IND,18,
Madison,Town of Sullivan 6,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Sullivan 6,State Senate,53,Write-ins,,0,
Madison,Town of Sullivan 6,State Senate,53,Voids,,1,
Madison,Town of Sullivan 6,State Senate,53,Blanks,,21,
Madison,Town of Sullivan 7,State Senate,53,Rachel May,DEM,235,
Madison,Town of Sullivan 7,State Senate,53,Sam Rodgers,REP,417,
Madison,Town of Sullivan 7,State Senate,53,Sam Rodgers,CON,37,
Madison,Town of Sullivan 7,State Senate,53,Rachel May,WOR,15,
Madison,Town of Sullivan 7,State Senate,53,Russell S. Penner,LBT,3,
Madison,Town of Sullivan 7,State Senate,53,Sam Rodgers,IND,16,
Madison,Town of Sullivan 7,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Sullivan 7,State Senate,53,Write-ins,,0,
Madison,Town of Sullivan 7,State Senate,53,Voids,,0,
Madison,Town of Sullivan 7,State Senate,53,Blanks,,28,
Madison,Town of Sullivan 8,State Senate,53,Rachel May,DEM,209,
Madison,Town of Sullivan 8,State Senate,53,Sam Rodgers,REP,236,
Madison,Town of Sullivan 8,State Senate,53,Sam Rodgers,CON,24,
Madison,Town of Sullivan 8,State Senate,53,Rachel May,WOR,11,
Madison,Town of Sullivan 8,State Senate,53,Russell S. Penner,LBT,8,
Madison,Town of Sullivan 8,State Senate,53,Sam Rodgers,IND,10,
Madison,Town of Sullivan 8,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Sullivan 8,State Senate,53,Write-ins,,1,
Madison,Town of Sullivan 8,State Senate,53,Voids,,0,
Madison,Town of Sullivan 8,State Senate,53,Blanks,,25,
Madison,Town of Sullivan 9,State Senate,53,Rachel May,DEM,169,
Madison,Town of Sullivan 9,State Senate,53,Sam Rodgers,REP,331,
Madison,Town of Sullivan 9,State Senate,53,Sam Rodgers,CON,41,
Madison,Town of Sullivan 9,State Senate,53,Rachel May,WOR,19,
Madison,Town of Sullivan 9,State Senate,53,Russell S. Penner,LBT,3,
Madison,Town of Sullivan 9,State Senate,53,Sam Rodgers,IND,11,
Madison,Town of Sullivan 9,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Sullivan 9,State Senate,53,Write-ins,,0,
Madison,Town of Sullivan 9,State Senate,53,Voids,,0,
Madison,Town of Sullivan 9,State Senate,53,Blanks,,30,
Madison,Town of Sullivan 10,State Senate,53,Rachel May,DEM,231,
Madison,Town of Sullivan 10,State Senate,53,Sam Rodgers,REP,284,
Madison,Town of Sullivan 10,State Senate,53,Sam Rodgers,CON,29,
Madison,Town of Sullivan 10,State Senate,53,Rachel May,WOR,20,
Madison,Town of Sullivan 10,State Senate,53,Russell S. Penner,LBT,12,
Madison,Town of Sullivan 10,State Senate,53,Sam Rodgers,IND,18,
Madison,Town of Sullivan 10,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Sullivan 10,State Senate,53,Write-ins,,0,
Madison,Town of Sullivan 10,State Senate,53,Voids,,0,
Madison,Town of Sullivan 10,State Senate,53,Blanks,,30,
Madison,Town of Sullivan 11,State Senate,53,Rachel May,DEM,216,
Madison,Town of Sullivan 11,State Senate,53,Sam Rodgers,REP,302,
Madison,Town of Sullivan 11,State Senate,53,Sam Rodgers,CON,41,
Madison,Town of Sullivan 11,State Senate,53,Rachel May,WOR,15,
Madison,Town of Sullivan 11,State Senate,53,Russell S. Penner,LBT,7,
Madison,Town of Sullivan 11,State Senate,53,Sam Rodgers,IND,14,
Madison,Town of Sullivan 11,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Sullivan 11,State Senate,53,Write-ins,,0,
Madison,Town of Sullivan 11,State Senate,53,Voids,,0,
Madison,Town of Sullivan 11,State Senate,53,Blanks,,25,
Madison,City of Oneida Ward 1,State Assembly,121,Dan Buttermann,DEM,384,
Madison,City of Oneida Ward 1,State Assembly,121,John J. Salka,REP,484,
Madison,City of Oneida Ward 1,State Assembly,121,John J. Salka,CON,51,
Madison,City of Oneida Ward 1,State Assembly,121,Corey J. Mosher,WOR,34,
Madison,City of Oneida Ward 1,State Assembly,121,Jake Cormell,LBT,20,
Madison,City of Oneida Ward 1,State Assembly,121,John J. Salka,IND,25,
Madison,City of Oneida Ward 1,State Assembly,121,Write-ins,,0,
Madison,City of Oneida Ward 1,State Assembly,121,Voids,,0,
Madison,City of Oneida Ward 1,State Assembly,121,Blanks,,44,
Madison,City of Oneida Ward 2,State Assembly,121,Dan Buttermann,DEM,319,
Madison,City of Oneida Ward 2,State Assembly,121,John J. Salka,REP,456,
Madison,City of Oneida Ward 2,State Assembly,121,John J. Salka,CON,40,
Madison,City of Oneida Ward 2,State Assembly,121,Corey J. Mosher,WOR,28,
Madison,City of Oneida Ward 2,State Assembly,121,Jake Cormell,LBT,16,
Madison,City of Oneida Ward 2,State Assembly,121,John J. Salka,IND,28,
Madison,City of Oneida Ward 2,State Assembly,121,Write-ins,,0,
Madison,City of Oneida Ward 2,State Assembly,121,Voids,,0,
Madison,City of Oneida Ward 2,State Assembly,121,Blanks,,49,
Madison,City of Oneida Ward 3,State Assembly,121,Dan Buttermann,DEM,380,
Madison,City of Oneida Ward 3,State Assembly,121,John J. Salka,REP,472,
Madison,City of Oneida Ward 3,State Assembly,121,John J. Salka,CON,50,
Madison,City of Oneida Ward 3,State Assembly,121,Corey J. Mosher,WOR,23,
Madison,City of Oneida Ward 3,State Assembly,121,Jake Cormell,LBT,12,
Madison,City of Oneida Ward 3,State Assembly,121,John J. Salka,IND,23,
Madison,City of Oneida Ward 3,State Assembly,121,Write-ins,,0,
Madison,City of Oneida Ward 3,State Assembly,121,Voids,,0,
Madison,City of Oneida Ward 3,State Assembly,121,Blanks,,42,
Madison,City of Oneida Ward 4,State Assembly,121,Dan Buttermann,DEM,159,
Madison,City of Oneida Ward 4,State Assembly,121,John J. Salka,REP,222,
Madison,City of Oneida Ward 4,State Assembly,121,John J. Salka,CON,21,
Madison,City of Oneida Ward 4,State Assembly,121,Corey J. Mosher,WOR,15,
Madison,City of Oneida Ward 4,State Assembly,121,Jake Cormell,LBT,3,
Madison,City of Oneida Ward 4,State Assembly,121,John J. Salka,IND,12,
Madison,City of Oneida Ward 4,State Assembly,121,Write-ins,,0,
Madison,City of Oneida Ward 4,State Assembly,121,Voids,,0,
Madison,City of Oneida Ward 4,State Assembly,121,Blanks,,26,
Madison,City of Oneida Ward 5,State Assembly,121,Dan Buttermann,DEM,179,
Madison,City of Oneida Ward 5,State Assembly,121,John J. Salka,REP,298,
Madison,City of Oneida Ward 5,State Assembly,121,John J. Salka,CON,28,
Madison,City of Oneida Ward 5,State Assembly,121,Corey J. Mosher,WOR,19,
Madison,City of Oneida Ward 5,State Assembly,121,Jake Cormell,LBT,9,
Madison,City of Oneida Ward 5,State Assembly,121,John J. Salka,IND,10,
Madison,City of Oneida Ward 5,State Assembly,121,Write-ins,,0,
Madison,City of Oneida Ward 5,State Assembly,121,Voids,,0,
Madison,City of Oneida Ward 5,State Assembly,121,Blanks,,31,
Madison,City of Oneida Ward 6,State Assembly,121,Dan Buttermann,DEM,199,
Madison,City of Oneida Ward 6,State Assembly,121,John J. Salka,REP,367,
Madison,City of Oneida Ward 6,State Assembly,121,John J. Salka,CON,43,
Madison,City of Oneida Ward 6,State Assembly,121,Corey J. Mosher,WOR,26,
Madison,City of Oneida Ward 6,State Assembly,121,Jake Cormell,LBT,15,
Madison,City of Oneida Ward 6,State Assembly,121,John J. Salka,IND,27,
Madison,City of Oneida Ward 6,State Assembly,121,Write-ins,,0,
Madison,City of Oneida Ward 6,State Assembly,121,Voids,,0,
Madison,City of Oneida Ward 6,State Assembly,121,Blanks,,24,
Madison,Town of Brookfield 1,State Assembly,121,Dan Buttermann,DEM,87,
Madison,Town of Brookfield 1,State Assembly,121,John J. Salka,REP,183,
Madison,Town of Brookfield 1,State Assembly,121,John J. Salka,CON,24,
Madison,Town of Brookfield 1,State Assembly,121,Corey J. Mosher,WOR,7,
Madison,Town of Brookfield 1,State Assembly,121,Jake Cormell,LBT,3,
Madison,Town of Brookfield 1,State Assembly,121,John J. Salka,IND,2,
Madison,Town of Brookfield 1,State Assembly,121,Write-ins,,0,
Madison,Town of Brookfield 1,State Assembly,121,Voids,,0,
Madison,Town of Brookfield 1,State Assembly,121,Blanks,,15,
Madison,Town of Brookfield 2,State Assembly,121,Dan Buttermann,DEM,153,
Madison,Town of Brookfield 2,State Assembly,121,John J. Salka,REP,272,
Madison,Town of Brookfield 2,State Assembly,121,John J. Salka,CON,18,
Madison,Town of Brookfield 2,State Assembly,121,Corey J. Mosher,WOR,11,
Madison,Town of Brookfield 2,State Assembly,121,Jake Cormell,LBT,2,
Madison,Town of Brookfield 2,State Assembly,121,John J. Salka,IND,16,
Madison,Town of Brookfield 2,State Assembly,121,Write-ins,,0,
Madison,Town of Brookfield 2,State Assembly,121,Voids,,0,
Madison,Town of Brookfield 2,State Assembly,121,Blanks,,16,
Madison,Town of Brookfield 3,State Assembly,121,Dan Buttermann,DEM,83,
Madison,Town of Brookfield 3,State Assembly,121,John J. Salka,REP,194,
Madison,Town of Brookfield 3,State Assembly,121,John J. Salka,CON,29,
Madison,Town of Brookfield 3,State Assembly,121,Corey J. Mosher,WOR,15,
Madison,Town of Brookfield 3,State Assembly,121,Jake Cormell,LBT,5,
Madison,Town of Brookfield 3,State Assembly,121,John J. Salka,IND,10,
Madison,Town of Brookfield 3,State Assembly,121,Write-ins,,0,
Madison,Town of Brookfield 3,State Assembly,121,Voids,,0,
Madison,Town of Brookfield 3,State Assembly,121,Blanks,,3,
Madison,Town of Cazenovia 1,State Assembly,121,Dan Buttermann,DEM,208,
Madison,Town of Cazenovia 1,State Assembly,121,John J. Salka,REP,292,
Madison,Town of Cazenovia 1,State Assembly,121,John J. Salka,CON,23,
Madison,Town of Cazenovia 1,State Assembly,121,Corey J. Mosher,WOR,25,
Madison,Town of Cazenovia 1,State Assembly,121,Jake Cormell,LBT,6,
Madison,Town of Cazenovia 1,State Assembly,121,John J. Salka,IND,18,
Madison,Town of Cazenovia 1,State Assembly,121,Write-ins,,0,
Madison,Town of Cazenovia 1,State Assembly,121,Voids,,0,
Madison,Town of Cazenovia 1,State Assembly,121,Blanks,,31,
Madison,Town of Cazenovia 2,State Assembly,121,Dan Buttermann,DEM,303,
Madison,Town of Cazenovia 2,State Assembly,121,John J. Salka,REP,237,
Madison,Town of Cazenovia 2,State Assembly,121,John J. Salka,CON,17,
Madison,Town of Cazenovia 2,State Assembly,121,Corey J. Mosher,WOR,12,
Madison,Town of Cazenovia 2,State Assembly,121,Jake Cormell,LBT,3,
Madison,Town of Cazenovia 2,State Assembly,121,John J. Salka,IND,8,
Madison,Town of Cazenovia 2,State Assembly,121,Write-ins,,0,
Madison,Town of Cazenovia 2,State Assembly,121,Voids,,0,
Madison,Town of Cazenovia 2,State Assembly,121,Blanks,,19,
Madison,Town of Cazenovia 3,State Assembly,121,Dan Buttermann,DEM,392,
